bid_discount,count_linktot_in,count_linktot_out,auction_type,participated,logmiles_fiwo,logcapital,backlog_lagged,firm_type_unlim_liab,auction_id,labor,region,year
20.641,,,0,1,5.097345,,,0,373155,,"EMILIA ROMAGNA",2007
12.75,,,0,1,,,,0,369351,,"EMILIA ROMAGNA",2007
14.98,,,0,1,,,,0,329072,,"LIGURIA",2006
17.377,,,0,1,,,,,338486,,"EMILIA ROMAGNA",2006
9.803,,,0,1,4.661465,,,,329073,,"LIGURIA",2006
12.37,,,0,1,4.144578,,,0,329955,,"PIEMONTE",2006
19.5099,,,0,1,3.015535,,,,368817,,"LOMBARDIA",2007
2.592,,,0,1,3.445565,,,1,337515,,"EMILIA ROMAGNA",2005
7,,,1,1,3.230804,,,0,349842,,"PIEMONTE",2006
6,,,1,1,3.230804,,,0,349857,,"PIEMONTE",2006
14,,,1,1,3.230804,,,0,351848,,"PIEMONTE",2006
16.315,,,0,1,0,,,1,315969,,"LOMBARDIA",2005
11.72,,,0,1,,,,1,317840,,"VENETO",2005
9.94,,,0,1,2.750854,,,,355250,,"LOMBARDIA",2006
9.56,,,0,1,2.533855,,,,355255,,"LOMBARDIA",2006
9.99,,,0,1,4.03661,,,0,348288,,"LOMBARDIA",2006
10.693,,,0,1,6.210018,,,,314139,,"VENETO",2005
3.15,,,0,1,4.583006,,,0,348288,,"LOMBARDIA",2006
11.5,,,1,1,3.726825,,,0,349860,,"PIEMONTE",2006
3.364,,,0,1,,,,0,371990,,"EMILIA ROMAGNA",2006
14.672,,,0,1,,,,,344186,,"PIEMONTE",2006
22.22,,,1,1,1.765415,,,1,388061,,"LOMBARDIA",2007
12.74,,,0,1,3.449193,,,,339250,,"EMILIA ROMAGNA",2006
8.22,,,0,1,0,,,,371801,,"EMILIA ROMAGNA",2007
15.49,,,0,1,1.951608,,,,353253,,"LOMBARDIA",2006
14.23,,,1,1,3.635162,,,,349842,,"PIEMONTE",2006
12.07,,,1,1,3.635162,,,,349843,,"PIEMONTE",2006
25.12,,,1,1,3.635162,,,,351848,,"PIEMONTE",2006
13.335,,,0,1,0,,,0,314886,,"PIEMONTE",2005
15.216,,,0,1,,,,,356056,,"PIEMONTE",2006
9.748,,,0,1,,,,0,344857,,"EMILIA ROMAGNA",2006
11.616,,,0,1,0,,,0,315969,,"LOMBARDIA",2005
9.02,,,0,1,,,,,308974,,"EMILIA ROMAGNA",2005
14.66,,,0,1,,,0,,354322,,"EMILIA ROMAGNA",2006
11.5,,,0,1,,,,,314878,,"PIEMONTE",2005
12.89,,,0,1,,,,0,348362,,"LOMBARDIA",2006
1.5,,,1,1,1.703657,,,0,349861,,"PIEMONTE",2006
10.51,,,1,1,1.703657,,0,0,349862,,"PIEMONTE",2006
3.85,,,0,1,3.566486,,,,352706,,"PIEMONTE",2006
9,,,0,1,3.395012,,,0,351877,,"EMILIA ROMAGNA",
14.083,,,0,1,3.832937,,,0,316024,,"VENETO",2005
17.64,,,0,1,6.350278,,,,340222,,"EMILIA ROMAGNA",2006
18.57,,,0,1,6.635757,,0,,351076,,"LOMBARDIA",2006
13.78,,,0,1,6.553193,,,0,322936,,"EMILIA ROMAGNA",2006
15.766,,,0,1,,,,0,350474,,"EMILIA ROMAGNA",2006
19.42,,,1,1,3.267323,,,,349861,,"PIEMONTE",2006
12.25,,,0,1,,,,,363819,,"PIEMONTE",2006
14.752,,,0,1,6.044972,,,,314139,,"VENETO",2005
10.45,,,1,1,0,,,,372138,,"LOMBARDIA",2007
17.05,,,0,1,2.79282,,,0,358009,,"LOMBARDIA",2006
10.968,,,0,1,1.359693,,,,370048,,"LOMBARDIA",2007
16.473,,,0,1,3.249366,,,,354472,,"EMILIA ROMAGNA",2006
10.848,,,0,1,4.229662,,,0,366983,,"VENETO",2006
26.28,,,0,1,,,,0,362363,,"LIGURIA",2006
13.84,,,0,1,,,,,338887,,"EMILIA ROMAGNA",2006
15.85,,,0,1,4.290637,,,0,320013,,"LIGURIA",2005
4.68,,,0,1,5.118814,,,,354472,,"EMILIA ROMAGNA",2006
20.493,,,0,1,4.005859,,,,339960,,"VENETO",2006
12.42,,,0,1,,,,0,351092,,"LOMBARDIA",2006
16.2,,,0,1,,,0,0,369302,,"LOMBARDIA",2007
9.22,,,0,1,,,0,0,373150,,"LOMBARDIA",2007
9.15,,,0,1,3.412269,,,0,330615,,"LOMBARDIA",2006
16.889,,,0,1,6.637459,,,1,352231,,"EMILIA ROMAGNA",2006
15.88,,,0,1,6.850641,,,,316467,,"LIGURIA",2005
18.61,,,0,1,,,,,329007,,"LIGURIA",2006
6.529,,,0,1,4.546258,,,,372029,,"EMILIA ROMAGNA",2007
18.22,,,0,1,3.767298,,,,336226,,"LOMBARDIA",2006
13.71,,,0,1,3.139313,,,,320013,,"LIGURIA",2005
15.411,,,0,1,3.325072,,,,325729,,"EMILIA ROMAGNA",2006
10.99,,,0,1,6.968571,,,,329783,,"PIEMONTE",2006
9.834,,,0,1,6.968571,,,,330820,,"PIEMONTE",2006
9.131,,,0,1,6.968571,,0,,331311,,"PIEMONTE",2006
13.03,,,0,1,0,,,1,330988,,"LIGURIA",2006
7.03,,,0,1,2.879423,,,,355780,,"PIEMONTE",2006
